alpha,beta,gamma,rho_norm,amp_baseline,amp_full
0.0,0.4,0.2,0.5,1.0,1.4500000000000002
0.0,0.4,0.2,1.0,1.0,1.54
0.0,0.4,0.2,1.5,1.0,1.6300000000000001
0.0,0.4,0.2,2.0,1.0,1.7200000000000002
0.0,0.4,0.2,2.5,1.0,1.81
0.0,0.4,0.2,3.0,1.0,1.9000000000000004
0.0,0.4,0.2,3.5,1.0,1.9900000000000002
0.0,0.4,0.2,4.0,1.0,2.08
0.0,0.4,0.2,4.5,1.0,2.17
0.0,0.4,0.2,5.0,1.0,2.2600000000000002
0.0,0.4,0.25,0.5,1.0,1.4725000000000001
0.0,0.4,0.25,1.0,1.0,1.5850000000000002
0.0,0.4,0.25,1.5,1.0,1.6975000000000002
0.0,0.4,0.25,2.0,1.0,1.81
0.0,0.4,0.25,2.5,1.0,1.9225
0.0,0.4,0.25,3.0,1.0,2.035
0.0,0.4,0.25,3.5,1.0,2.1475
0.0,0.4,0.25,4.0,1.0,2.2600000000000002
0.0,0.4,0.25,4.5,1.0,2.3725
0.0,0.4,0.25,5.0,1.0,2.4850000000000003
0.0,0.4,0.3,0.5,1.0,1.495
0.0,0.4,0.3,1.0,1.0,1.6300000000000001
0.0,0.4,0.3,1.5,1.0,1.7650000000000001
0.0,0.4,0.3,2.0,1.0,1.9000000000000001
0.0,0.4,0.3,2.5,1.0,2.035
0.0,0.4,0.3,3.0,1.0,2.17
0.0,0.4,0.3,3.5,1.0,2.305
0.0,0.4,0.3,4.0,1.0,2.4400000000000004
0.0,0.4,0.3,4.5,1.0,2.575
0.0,0.4,0.3,5.0,1.0,2.71
0.0,0.4,0.35,0.5,1.0,1.5175
0.0,0.4,0.35,1.0,1.0,1.675
0.0,0.4,0.35,1.5,1.0,1.8325
0.0,0.4,0.35,2.0,1.0,1.9900000000000002
0.0,0.4,0.35,2.5,1.0,2.1475
0.0,0.4,0.35,3.0,1.0,2.3049999999999997
0.0,0.4,0.35,3.5,1.0,2.4625
0.0,0.4,0.35,4.0,1.0,2.62
0.0,0.4,0.35,4.5,1.0,2.7775
0.0,0.4,0.35,5.0,1.0,2.935
0.0,0.4,0.4,0.5,1.0,1.54
0.0,0.4,0.4,1.0,1.0,1.7200000000000002
0.0,0.4,0.4,1.5,1.0,1.9000000000000004
0.0,0.4,0.4,2.0,1.0,2.08
0.0,0.4,0.4,2.5,1.0,2.2600000000000002
0.0,0.4,0.4,3.0,1.0,2.4400000000000004
0.0,0.4,0.4,3.5,1.0,2.62
0.0,0.4,0.4,4.0,1.0,2.8000000000000003
0.0,0.4,0.4,4.5,1.0,2.9800000000000004
0.0,0.4,0.4,5.0,1.0,3.16
0.0,0.4,0.45,0.5,1.0,1.5625
0.0,0.4,0.45,1.0,1.0,1.7650000000000001
0.0,0.4,0.45,1.5,1.0,1.9675000000000002
0.0,0.4,0.45,2.0,1.0,2.17
0.0,0.4,0.45,2.5,1.0,2.3725
0.0,0.4,0.45,3.0,1.0,2.575
0.0,0.4,0.45,3.5,1.0,2.7775
0.0,0.4,0.45,4.0,1.0,2.9800000000000004
0.0,0.4,0.45,4.5,1.0,3.1825
0.0,0.4,0.45,5.0,1.0,3.385
0.0,0.4,0.5,0.5,1.0,1.5850000000000002
