star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
287,-0.0017517492344834,0.0017517492344834,0.8420561788880919,14.166734701082556,3.91073995150295e+16,1.0532714,,10.20327
288,-0.0023719447451795,0.0023719447451795,0.8414359833773958,14.226454088140471,3.930503672949594e+16,1.0177372,,15.021885
289,-0.0030741867561829,0.0030741867561829,0.8407337413663923,14.166734701082556,4.447940716883699e+16,1.1979096,,12.815252
290,-0.0041394459570345,0.0041394459570345,0.8396684821655408,14.166734701082556,4.50037367761897e+16,1.1806585,,13.363241
291,-0.0056728642300579,0.0056728642300579,0.8381350638925174,14.166734701082556,4.514220652135155e+16,0.8232454,,5.984928
292,-0.0026162441705812,0.0026162441705812,0.8411916839519941,14.166734701082556,4.552102263702298e+16,1.1026752,,15.09831
293,-0.0026106571392724,0.0026106571392724,0.8411972709833029,14.166734701082556,4.854852790378829e+16,0.9827753,,8.776985
294,-0.0024129842350631,0.0024129842350631,0.8413949438875121,14.226454088140471,4.952025566512333e+16,1.1849926,,12.847304
295,-0.002795833417701,0.002795833417701,0.8410120947048743,14.166734701082556,5.030029044671834e+16,1.1428745,,13.990629
296,-0.002242363378706,0.002242363378706,0.8415655647438692,14.226454088140471,5.032729720097818e+16,1.2336773,,9.780697
297,-0.000526435478617,0.000526435478617,0.8432814926439582,14.226454088140471,5.185094543824038e+16,1.2573075,,13.72065
298,-0.0048424194046533,0.0048424194046533,0.838965508717922,14.166734701082556,5.22148150678505e+16,1.0476099,,17.784103
299,-0.0013037085257954,0.0013037085257954,0.8425042195967799,14.166734701082556,5.372894565838515e+16,1.2580178,,12.370875
300,-0.000607977333164,0.000607977333164,0.8431999507894112,14.20632112186034,5.629692378486541e+16,1.0352237,,16.028378
301,-0.0031900589526884,0.0031900589526884,0.8406178691698869,14.166734701082556,6.190738802366515e+16,1.102193,,17.765213
302,0.0009069591430933,0.0009069591430933,0.8447148872656687,14.267154858687086,6.4115585330656e+16,1.0320977,,7.165409
