source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
3311120722349948672,65.23411332349541,14.859496095395018,20.600621399663094,110.08201071512241,-21.127957778586953,15.127425,1.0222328,0.039784938,0.044265475,0.033142503
3311867325104353280,64.58468223273029,14.98293328988197,15.307060905513623,22.169248590838315,-49.64705238123258,15.160064,1.1081271,0.03269001,0.037710194,0.029429693
3312575685471393664,68.64759095859309,15.504503855092008,21.668969928652356,100.96281435030956,-26.81401752868006,7.782416,0.99662864,0.02430476,0.028476143,0.020886095
3312824381257598208,67.43271590376763,15.839894381508566,16.04128041496833,15.562083740523015,-147.88393057977433,12.317213,1.2668233,0.015951043,0.018634785,0.013587003
3313346408763839488,67.80201539742441,17.161322981312146,20.008532547772884,64.47501924930121,-87.9627810550844,15.977622,1.0268568,0.06850339,0.0757607,0.047334716
3313742056853382144,66.46863266379866,16.887381404988016,15.346922241429159,-16.022547872108706,3.141716608045381,17.462467,1.040371,0.11141498,0.13103426,0.08629083
3313787381644565888,66.61072506989814,17.139756702919517,16.05440196869863,25.256325172769344,-24.610092330602708,15.094378,1.1364163,0.029729025,0.03858005,0.027759122
3410856112139584000,68.8069633740276,20.13348182757384,21.948697104502962,101.47918225572907,-41.83082929293606,17.741829,1.0597311,0.1420797,0.17031609,0.1233603
16353968448495616,52.011013830960074,11.239868531444955,18.987635731604904,101.87423857453075,-4.61573277250803,14.490755,1.261193,0.03157153,0.035936818,0.026843704
37463870148333312,54.10982303171778,11.800590041095742,21.72911821427236,223.4280698760096,-127.18298667262229,12.815305,1.2378039,0.021230036,0.026075087,0.019250268
41438879559330432,54.47875159568607,14.540825361100644,16.376024986466362,37.99871363960686,-134.18323378178508,14.19929,1.3003983,0.2078199,0.16965285,0.15946509
43786852283456256,57.84098532909061,17.413743805203637,16.197864674302267,-9.195183963301627,-32.003447832084966,14.911006,1.0760516,0.035259258,0.04200582,0.021878704
45968901826385024,62.046894401912525,16.872957299111434,24.939219293428796,144.10107374790024,-29.401353245609045,10.819927,1.1694524,0.019496195,0.021810412,0.016227935
47068207297219584,61.510042604543834,18.250756772031725,25.637456559681215,147.52621913767337,-33.30524023649018,11.886165,1.3522114,0.02152091,0.025792584,0.017505024
47982794811614080,66.08777664103502,19.180615222151253,21.221541356846625,107.33819741939575,-37.70735951451041,15.132381,1.1425462,0.032064047,0.043126646,0.030504119
48928271732299904,62.65986304473057,20.03959048044017,19.120251602312656,40.753732203809186,-214.68389252302305,12.229612,1.1493336,0.016533483,0.020800496,0.015453024
49341619384983936,63.88629116401432,20.80728008280573,23.285913778614127,125.47634776620009,-39.472909832859656,16.126862,1.005421,0.13920519,0.16787963,0.093511745
49407521363733632,64.69039279358951,21.03157317475898,23.21099306427877,120.10335358445042,-40.99745582573716,16.82824,0.9981908,0.07383284,0.09927925,0.07793455
51415160877423488,60.262117106145496,20.701807960340798,17.731066366496325,-15.325682897388411,-134.79964818645766,17.546206,0.9871985,0.13472591,0.17669995,0.0993609
52123624323443328,61.73413127787046,20.78634119700579,22.947315849494526,66.407361215805,-232.92300664614586,13.520589,1.1128623,0.018513339,0.02283948,0.016686052
53129574383990528,60.75779874214309,21.764249479753538,18.2280198380834,-5.129659095519411,26.226904865034115,15.663285,1.1100142,0.044843413,0.0658327,0.031131204
55086705080546688,52.07026410349619,17.56530187144023,18.797885219476605,79.27685953039776,-63.77279184138963,12.598526,1.1763669,0.03480409,0.037572015,0.029082337
56806719222745472,52.87429836559431,18.785718167229106,16.105876268009514,227.75057689164402,-136.12760377199766,14.478801,1.1208035,0.024598088,0.027931564,0.020928843
57749344286258816,52.00809257633623,19.482928624488583,26.421268279614235,-58.16774272900057,-29.77413778704274,14.217901,1.3442007,0.028597197,0.03598516,0.024140786
64961556448201856,56.880921865700394,23.280128069497483,15.159754222684487,153.75835093119295,-96.77758545796861,15.831441,1.1525114,0.055560835,0.06216975,0.041625325
65022510623526272,55.56642286052093,22.786105961631623,17.683971923900465,20.03605352060612,-77.73579087685343,7.293389,1.0431587,0.026909385,0.034099184,0.024368716
144574788234755200,67.93220107169566,21.1544637083942,16.342155331876032,80.481679796547,-31.32923075852372,15.845898,1.1820005,0.057869323,0.06599417,0.039024528
144978858756826368,68.03293814929867,21.63234187170915,25.755930857797697,-1.5554128023977327,-3.340374571507968,6.938979,1.1017748,0.022926643,0.029327068,0.021803029
145310052272968192,66.51910967134832,21.633018882074282,19.788496568553608,135.63228248468593,-9.372024860106073,12.076958,1.3524691,0.019597769,0.02495164,0.018391935
145373377272257664,66.06128542553917,21.736042245626578,23.200912136413244,117.38495084684558,-45.74094027417765,7.0066395,0.9829513,0.020694083,0.02927861,0.021180976
145705739022467072,66.48458335372466,22.58185108370012,18.097436504680083,57.477803826249534,-34.381437624926484,15.415481,1.0898572,0.037431546,0.04854885,0.033826854
147877549363243520,67.73289168285214,24.837905200610166,22.335773967019758,106.11682285722662,-55.41076672012422,14.66773,1.0567849,0.03176673,0.035954222,0.027148966
162150859561044352,61.721962122762605,24.965881566133774,15.291899032804128,58.40129528300419,-9.007728702414255,13.460632,1.0250592,0.020238267,0.022308035,0.011780397
3278207082289472896,56.95438264563599,8.069545456808964,29.851237077714558,-131.18953694408765,-20.533093305868377,12.961828,1.1702569,0.025015706,0.024109649,0.02133492
3285193619691346688,63.73328827780732,6.096141277756993,18.72977414276076,133.84754840891856,-42.01216746514541,12.537018,1.2089427,0.015875807,0.017880294,0.012792926
3297063088232792192,61.751497052032455,6.151771686557258,22.11258925801269,-53.339821227233365,-192.0017569983867,17.24545,0.9896304,0.10013339,0.11826092,0.085830964
3297691802724350848,62.914412034259264,7.568016016903303,26.78395334159542,23.998874679200206,70.48334185492554,15.360768,1.0542581,0.03820478,0.047649864,0.03617812
3302579887825206528,57.00752375700447,9.543493648344215,15.132521335579149,82.65251708156009,-95.96303363237706,14.1071205,1.2729092,0.026265945,0.028630814,0.02014358
3302598613882566400,57.47769120197455,9.725156707639503,23.284554399502298,-61.438134701709146,-210.5011942388646,13.684223,1.2871121,0.019344475,0.022701275,0.014331485
3304700330358980608,61.47770996858171,11.966252736644403,26.35128727687144,219.5715115711468,18.402074003945575,9.632968,1.1621764,0.019421889,0.021839825,0.0139008565
3304898792207252352,59.49289800215711,12.236781229296135,17.71233756794152,222.1450439578931,-83.91780270415993,15.885338,1.0060157,0.042967506,0.051195383,0.03296014
3305271423569212288,63.128591123316355,13.327015024753146,20.695823983276995,69.76365614424172,-111.27804746359817,17.995031,1.2653801,0.16575062,0.21012893,0.18434957
3305966383637466752,67.20598709739409,10.75589526424399,25.490528761371323,-16.80290625643455,-96.67227238708043,10.812435,1.3431464,0.017432911,0.019243037,0.015184542
3305972018634634880,67.24282416040172,10.747611312449017,15.17071527393807,18.000371648379865,75.19907060036691,16.913305,0.93801093,0.08150497,0.08278819,0.065023035
3306443434245315200,69.291691847268,12.105461472636064,19.41889747432375,88.76563204307084,-10.607122664490827,14.798864,1.0930027,0.028290609,0.03430987,0.0219247
3307342353720064384,67.73941890222551,12.303703377160781,24.636572220934834,117.17544367575573,-19.054110398477505,12.82486,1.221669,0.024287598,0.027515754,0.01980155
