realization,purity,contamination,cluster_median,field_median,delta
9,0.4,0.6,0.9154216450240984,0.9744922011307829,0.059070556106684546
10,0.4,0.6,0.9111525050455833,0.971282236313397,0.060129731267813735
11,0.4,0.6,0.9738901238973432,0.977670845606931,0.0037807217095877643
12,0.4,0.6,0.9440326755225035,0.9833267022676209,0.039294026745117394
13,0.4,0.6,0.9051354980189376,1.0079662329459853,0.10283073492704775
14,0.4,0.6,0.9886951900776841,0.9732828253879195,-0.01541236468976459
15,0.4,0.6,0.9118561523851698,0.9848317611025021,0.07297560871733233
16,0.4,0.6,0.902039610520049,0.985610999973012,0.08357138945296305
17,0.4,0.6,0.9696509747460116,0.9488647653994892,-0.020786209346522422
18,0.4,0.6,0.9338351158887126,1.0369748570114101,0.10313974112269753
19,0.4,0.6,0.908353111389613,0.9979802388703609,0.08962712748074786
20,0.4,0.6,0.9422540561805075,0.977421583598735,0.035167527418227484
21,0.4,0.6,0.8706609082635922,1.0276630072122261,0.15700209894863393
22,0.4,0.6,0.8880302774901991,0.959931656086169,0.0719013785959699
23,0.4,0.6,0.8644528875787207,0.983944584585241,0.11949169700652029
24,0.4,0.6,0.9618197063984423,0.948162261638245,-0.013657444760197257
25,0.4,0.6,0.9135584166591121,0.999287239195871,0.08572882253675895
26,0.4,0.6,0.9653699722232751,0.9649486534813527,-0.00042131874192241625
27,0.4,0.6,0.9138056178037275,0.9829621881818067,0.06915657037807921
28,0.4,0.6,0.8912697491136928,0.9959685538640448,0.10469880475035198
29,0.4,0.6,0.852318797335172,0.9679860733707635,0.11566727603559146
30,0.4,0.6,0.9124507835919651,0.9877989335539559,0.0753481499619908
31,0.4,0.6,0.9564237474827253,1.0451399229294642,0.08871617544673893
32,0.4,0.6,0.8988342657804061,1.0053232317723415,0.10648896599193536
33,0.4,0.6,0.9099067008876786,0.920964800148788,0.011058099261109455
34,0.4,0.6,0.9196297452792077,0.9726044762117589,0.05297473093255123
35,0.4,0.6,0.9314409568204427,0.9737846834648787,0.042343726644435975
36,0.4,0.6,0.8942488589949076,1.0014346887544563,0.10718582975954871
37,0.4,0.6,0.9472983229218942,0.9922138440681132,0.044915521146218995
38,0.4,0.6,0.8874224263155559,0.979428608704464,0.09200618238890812
39,0.4,0.6,0.9076881679365582,0.984227664722112,0.07653949678555383
40,0.4,0.6,0.8889074737210332,0.9883445185584783,0.09943704483744509
41,0.4,0.6,0.8813998922541982,1.0244158742669547,0.14301598201275645
42,0.4,0.6,0.8683400967727326,0.9553617008463162,0.08702160407358361
43,0.4,0.6,0.9265986915218256,0.996353575552765,0.06975488403093943
44,0.4,0.6,0.8499585298904515,1.0131122385284694,0.16315370863801792
45,0.4,0.6,0.9388030002435577,0.9904745722589621,0.0516715720154044
46,0.4,0.6,0.8773856663810105,0.9657754746325711,0.08838980825156062
47,0.4,0.6,0.8985066904001393,0.9834681295875964,0.08496143918745713
48,0.4,0.6,0.9276276354198997,0.9376772852332362,0.010049649813336559
49,0.4,0.6,0.9000224205001799,0.9550554845366203,0.05503306403644037
0,0.3,0.7,0.8883551140321548,0.982911875023146,0.0945567609909912
1,0.3,0.7,0.9459672982163725,1.0223332617494765,0.07636596353310399
2,0.3,0.7,0.927232883961693,0.9653706600138747,0.038137776052181716
3,0.3,0.7,0.9175536100200843,0.9928092238967132,0.07525561387662894
4,0.3,0.7,0.9147114647775741,0.9664703781470974,0.05175891336952321
5,0.3,0.7,0.9357354058761096,1.0181651701058885,0.08242976422977888
6,0.3,0.7,0.9257075156258099,0.997520664862368,0.07181314923655813
7,0.3,0.7,0.9386656409887517,0.9968861184256006,0.05822047743684888
